Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
83421984,TK,IST,186,00:00.0,ORD,IST,0,0,9503.4,0,I,55:30.8,10882885|235|83421984|T-Import,14472716,0,55:30.8,agi_bideveloper2,INSERT
15002396,7L,GYD,8116,00:00.0,JFK,GYD,0,0,0,0,I,55:30.8,10878831|501|15002396|T-Import,14470628,0,55:30.8,agi_bideveloper2,INSERT
92952451,5Y,ORD,557,00:00.0,SZX,ORD,0,0,120693,0,I,55:30.8,10888602|369|92952451|I-Import,14474003,0,55:30.8,agi_bideveloper2,INSERT
4752506,QR,ORD,8102,00:00.0,ORD,DOH,6,1317.4,1317.4,0,E,55:30.8,10885708|157|04752506|E,14472865,0,55:30.8,agi_bideveloper2,INSERT
83442236,TK,IST,186,00:00.0,ORD,IST,0,0,0,0,I,55:30.8,10882903|235|83442236|T-Import,14472717,0,55:30.8,agi_bideveloper2,INSERT
15002422,7L,GYD,8116,00:00.0,JFK,GYD,0,0,0,0,I,55:30.8,10878846|501|15002422|T-Import,14470629,0,55:30.8,agi_bideveloper2,INSERT
92952554,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888603|369|92952554|I-Import,14474004,0,55:30.8,agi_bideveloper2,INSERT
2112390,QR,ORD,8102,00:00.0,ORD,DOH,2,638.8,638.8,0,E,55:30.8,10885709|157|02112390|E,14472866,0,55:30.8,agi_bideveloper2,INSERT
93518762,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885543|369|93518762|I-Import,14472718,0,55:30.8,agi_bideveloper2,INSERT
15002400,7L,GYD,8116,00:00.0,JFK,GYD,0,0,0,0,I,55:30.8,10878856|501|15002400|T-Import,14470630,0,55:30.8,agi_bideveloper2,INSERT
92952440,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888604|369|92952440|I-Import,14474005,0,55:30.8,agi_bideveloper2,INSERT
87640475,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10885716|235|87640475|T-Import,14472867,0,55:30.8,agi_bideveloper2,INSERT
93518806,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885544|369|93518806|I-Import,14472719,0,55:30.8,agi_bideveloper2,INSERT
83421995,TK,JFK,12,00:00.0,JFK,IST,2,882,882,0,E,55:30.8,10879014|235|83421995|E,14470631,0,55:30.8,agi_bideveloper2,INSERT
92949474,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888605|369|92949474|I-Import,14474006,0,55:30.8,agi_bideveloper2,INSERT
83549620,TK,IST,4,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10885719|235|83549620|T-Import,14472868,0,55:30.8,agi_bideveloper2,INSERT
93525390,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885545|369|93525390|I-Import,14472720,0,55:30.8,agi_bideveloper2,INSERT
83421995,TK,IST,12,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10879014|235|83421995|T-Import,14470632,0,55:30.8,agi_bideveloper2,INSERT
92952591,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888606|369|92952591|I-Import,14474007,0,55:30.8,agi_bideveloper2,INSERT
83549826,TK,IST,2,00:00.0,JFK,IST,0,0,14593.9,0,I,55:30.8,10885736|235|83549826|T-Import,14472869,0,55:30.8,agi_bideveloper2,INSERT
93525876,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885546|369|93525876|I-Import,14472721,0,55:30.8,agi_bideveloper2,INSERT
4716434,QR,ORD,8102,00:00.0,ORD,AMS,7,734,734,0,E,55:30.8,10879020|157|04716434|E,14470633,0,55:30.8,agi_bideveloper2,INSERT
92952484,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888607|369|92952484|I-Import,14474008,0,55:30.8,agi_bideveloper2,INSERT
83392422,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10885779|235|83392422|T-Import,14472870,0,55:30.8,agi_bideveloper2,INSERT
93525213,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885547|369|93525213|I-Import,14472722,0,55:30.8,agi_bideveloper2,INSERT
4716434,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10879020|157|04716434|I-Import,14470634,0,55:30.8,agi_bideveloper2,INSERT
92949452,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888608|369|92949452|I-Import,14474009,0,55:30.8,agi_bideveloper2,INSERT
87698715,TK,IST,4,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10885783|235|87698715|T-Import,14472871,0,55:30.8,agi_bideveloper2,INSERT
93521956,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885548|369|93521956|I-Import,14472723,0,55:30.8,agi_bideveloper2,INSERT
2112390,QR,ORD,8102,00:00.0,ORD,DOH,3,958.3,958.3,0,E,55:30.8,10879112|157|02112390|E,14470635,0,55:30.8,agi_bideveloper2,INSERT
92952473,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888609|369|92952473|I-Import,14474010,0,55:30.8,agi_bideveloper2,INSERT
87698645,TK,IST,4,00:00.0,JFK,IST,0,0,7654.8,0,I,55:30.8,10885789|235|87698645|T-Import,14472872,0,55:30.8,agi_bideveloper2,INSERT
93521971,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885549|369|93521971|I-Import,14472724,0,55:30.8,agi_bideveloper2,INSERT
4756625,QR,ORD,8102,00:00.0,ORD,AMS,2,762,762,0,E,55:30.8,10880338|157|04756625|E,14470636,0,55:30.8,agi_bideveloper2,INSERT
92949463,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888610|369|92949463|I-Import,14474011,0,55:30.8,agi_bideveloper2,INSERT
6237814,OZ,ORD,248,00:00.0,ICN,ORD,0,0,0,0,I,55:30.8,10885824|988|06237814|T-Import,14472873,0,55:30.8,agi_bideveloper2,INSERT
93526672,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885550|369|93526672|I-Import,14472725,0,55:30.8,agi_bideveloper2,INSERT
4756625,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880338|157|04756625|I-Import,14470637,0,55:30.8,agi_bideveloper2,INSERT
92952580,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888611|369|92952580|I-Import,14474012,0,55:30.8,agi_bideveloper2,INSERT
6224820,OZ,ORD,248,00:00.0,ICN,ORD,0,0,0,0,I,55:30.8,10885825|988|06224820|I-Import,14472874,0,55:30.8,agi_bideveloper2,INSERT
93526845,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885551|369|93526845|I-Import,14472726,0,55:30.8,agi_bideveloper2,INSERT
4771200,QR,ORD,8102,00:00.0,ORD,AMS,2,249.6,249.6,0,E,55:30.8,10880340|157|04771200|E,14470638,0,55:30.8,agi_bideveloper2,INSERT
92952532,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888612|369|92952532|I-Import,14474013,0,55:30.8,agi_bideveloper2,INSERT
87868266,CX,HKG,80,00:00.0,HKG,ORD,8,2415.7,2415.7,0,E,55:30.8,10887457|160|87868266|E,14472875,0,55:30.8,agi_bideveloper2,INSERT
93526856,5Y,ORD,8763,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10885552|369|93526856|I-Import,14472727,0,55:30.8,agi_bideveloper2,INSERT
4771200,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880340|157|04771200|I-Import,14470639,0,55:30.8,agi_bideveloper2,INSERT
25431070,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889045|006|25431070|I-Import,14473979,0,55:30.8,agi_bideveloper2,INSERT
87868266,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887457|160|87868266|I-Import,14472876,0,55:30.8,agi_bideveloper2,INSERT
7074233,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886067|157|07074233|I-Import,14472728,0,55:30.8,agi_bideveloper2,INSERT
2130822,QR,ORD,8102,00:00.0,ORD,AMS,29,1877.3,1877.3,0,E,55:30.8,10880341|157|02130822|E,14470640,0,55:30.8,agi_bideveloper2,INSERT
45057460,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889046|006|45057460|I-Import,14473980,0,55:30.8,agi_bideveloper2,INSERT
91830292,CX,HKG,80,00:00.0,HKG,ORD,1,51,51,0,E,55:30.8,10887458|160|91830292|E,14472877,0,55:30.8,agi_bideveloper2,INSERT
412370,QR,ORD,8838,00:00.0,DOH,ORD,0,0,77177.4,0,I,55:30.8,10886068|157|00412370|I-Import,14472729,0,55:30.8,agi_bideveloper2,INSERT
2130822,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880341|157|02130822|I-Import,14470641,0,55:30.8,agi_bideveloper2,INSERT
25438954,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889047|006|25438954|T-Import,14473981,0,55:30.8,agi_bideveloper2,INSERT
91830292,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887458|160|91830292|I-Import,14472878,0,55:30.8,agi_bideveloper2,INSERT
48640362,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886069|157|48640362|I-Import,14472730,0,55:30.8,agi_bideveloper2,INSERT
4752801,QR,ORD,8102,00:00.0,ORD,AMS,3,372,372,0,E,55:30.8,10880342|157|04752801|E,14470642,0,55:30.8,agi_bideveloper2,INSERT
25292304,DL,JFK,231,00:00.0,FCO,JFK,0,0,0,0,I,55:30.8,10889048|006|25292304|T-Import,14473982,0,55:30.8,agi_bideveloper2,INSERT
92383992,CX,HKG,80,00:00.0,HKG,ORD,4,1534,1534,0,E,55:30.8,10887459|160|92383992|E,14472879,0,55:30.8,agi_bideveloper2,INSERT
3105572,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886070|157|03105572|I-Import,14472731,0,55:30.8,agi_bideveloper2,INSERT
4752801,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880342|157|04752801|T-Import,14470643,0,55:30.8,agi_bideveloper2,INSERT
41721665,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887796|180|41721665|I-Import,14473983,0,55:30.8,agi_bideveloper2,INSERT
92383992,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887459|160|92383992|I-Import,14472880,0,55:30.8,agi_bideveloper2,INSERT
3102816,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886071|157|03102816|I-Import,14472732,0,55:30.8,agi_bideveloper2,INSERT
2130811,QR,ORD,8102,00:00.0,ORD,AMS,4,133.4,133.4,0,E,55:30.8,10880344|157|02130811|E,14470644,0,55:30.8,agi_bideveloper2,INSERT
22983365,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887797|180|22983365|I-Import,14473984,0,55:30.8,agi_bideveloper2,INSERT
89193252,CX,HKG,80,00:00.0,HKG,ORD,113,2400,2400,0,E,55:30.8,10887460|160|89193252|E,14472881,0,55:30.8,agi_bideveloper2,INSERT
7074233,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886072|157|07074233|I-Import,14472733,0,55:30.8,agi_bideveloper2,INSERT
2130811,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880344|157|02130811|I-Import,14470645,0,55:30.8,agi_bideveloper2,INSERT
41721665,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887798|180|41721665|I-Import,14473985,0,55:30.8,agi_bideveloper2,INSERT
89193252,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887460|160|89193252|I-Import,14472882,0,55:30.8,agi_bideveloper2,INSERT
48631402,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886073|157|48631402|I-Import,14472734,0,55:30.8,agi_bideveloper2,INSERT
33113861,QR,ORD,8102,00:00.0,ORD,AMS,2,2080,2080,0,E,55:30.8,10880345|157|33113861|E,14470646,0,55:30.8,agi_bideveloper2,INSERT
42406512,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887799|180|42406512|T-Import,14473986,0,55:30.8,agi_bideveloper2,INSERT
91465522,CX,HKG,80,00:00.0,HKG,ORD,7,1997.8,1997.8,0,E,55:30.8,10887461|160|91465522|E,14472883,0,55:30.8,agi_bideveloper2,INSERT
48640362,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886074|157|48640362|I-Import,14472735,0,55:30.8,agi_bideveloper2,INSERT
33113861,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880345|157|33113861|I-Import,14470647,0,55:30.8,agi_bideveloper2,INSERT
41721665,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887800|180|41721665|I-Import,14473987,0,55:30.8,agi_bideveloper2,INSERT
91465522,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887461|160|91465522|I-Import,14472884,0,55:30.8,agi_bideveloper2,INSERT
33155426,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886075|157|33155426|I-Import,14472736,0,55:30.8,agi_bideveloper2,INSERT
2115713,QR,ORD,8102,00:00.0,ORD,AMS,8,397.6,397.6,0,E,55:30.8,10880347|157|02115713|E,14470648,0,55:30.8,agi_bideveloper2,INSERT
41721676,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887801|180|41721676|I-Import,14473988,0,55:30.8,agi_bideveloper2,INSERT
90665680,CX,HKG,80,00:00.0,HKG,ORD,6,1879,1879,0,E,55:30.8,10887462|160|90665680|E,14472885,0,55:30.8,agi_bideveloper2,INSERT
48795655,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886076|157|48795655|I-Import,14472737,0,55:30.8,agi_bideveloper2,INSERT
2115713,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880347|157|02115713|I-Import,14470649,0,55:30.8,agi_bideveloper2,INSERT
42406512,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887802|180|42406512|T-Import,14473989,0,55:30.8,agi_bideveloper2,INSERT
90665680,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887462|160|90665680|I-Import,14472886,0,55:30.8,agi_bideveloper2,INSERT
90353760,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886077|157|90353760|I-Import,14472738,0,55:30.8,agi_bideveloper2,INSERT
19051712,QR,ORD,8102,00:00.0,ORD,AMS,1,500,500,0,E,55:30.8,10880348|157|19051712|E,14470650,0,55:30.8,agi_bideveloper2,INSERT
41721886,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887803|180|41721886|I-Import,14473990,0,55:30.8,agi_bideveloper2,INSERT
91465511,CX,HKG,80,00:00.0,HKG,ORD,6,1686,1686,0,E,55:30.8,10887463|160|91465511|E,14472887,0,55:30.8,agi_bideveloper2,INSERT
48640351,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886078|157|48640351|I-Import,14472739,0,55:30.8,agi_bideveloper2,INSERT
19051712,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880348|157|19051712|I-Import,14470651,0,55:30.8,agi_bideveloper2,INSERT
29605074,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887804|180|29605074|I-Import,14473991,0,55:30.8,agi_bideveloper2,INSERT
91465511,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887463|160|91465511|I-Import,14472888,0,55:30.8,agi_bideveloper2,INSERT
36005421,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886079|157|36005421|I-Import,14472740,0,55:30.8,agi_bideveloper2,INSERT
4762461,QR,ORD,8102,00:00.0,ORD,AMS,1,1588,1588,0,E,55:30.8,10880349|157|04762461|E,14470652,0,55:30.8,agi_bideveloper2,INSERT
45418052,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887805|180|45418052|I-Import,14473992,0,55:30.8,agi_bideveloper2,INSERT
91465522,CX,HKG,80,00:00.0,HKG,ORD,1,300.4,300.4,0,E,55:30.8,10887464|160|91465522|E,14472889,0,55:30.8,agi_bideveloper2,INSERT
37936581,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886080|157|37936581|I-Import,14472741,0,55:30.8,agi_bideveloper2,INSERT
4762461,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10880349|157|04762461|I-Import,14470653,0,55:30.8,agi_bideveloper2,INSERT
45418450,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887806|180|45418450|I-Import,14473993,0,55:30.8,agi_bideveloper2,INSERT
91465522,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887464|160|91465522|I-Import,14472890,0,55:30.8,agi_bideveloper2,INSERT
37660416,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886081|157|37660416|I-Import,14472742,0,55:30.8,agi_bideveloper2,INSERT
4752506,QR,ORD,8102,00:00.0,ORD,DOH,1,219.6,219.6,0,E,55:30.8,10880352|157|04752506|E,14470654,0,55:30.8,agi_bideveloper2,INSERT
42761460,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887807|180|42761460|I-Import,14473994,0,55:30.8,agi_bideveloper2,INSERT
92000016,CX,HKG,80,00:00.0,HKG,ORD,5,1669,1669,0,E,55:30.8,10887465|160|92000016|E,14472891,0,55:30.8,agi_bideveloper2,INSERT
37660416,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886082|157|37660416|I-Import,14472743,0,55:30.8,agi_bideveloper2,INSERT
19726571,QR,ORD,8102,00:00.0,ORD,DOH,3,640,640,0,E,55:30.8,10880354|157|19726571|E,14470655,0,55:30.8,agi_bideveloper2,INSERT
40064253,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887808|180|40064253|I-Import,14473995,0,55:30.8,agi_bideveloper2,INSERT
92000016,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887465|160|92000016|I-Import,14472892,0,55:30.8,agi_bideveloper2,INSERT
69923092,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886083|157|69923092|I-Import,14472744,0,55:30.8,agi_bideveloper2,INSERT
30878794,QR,ORD,8102,00:00.0,ORD,DOH,3,81,81,0,E,55:30.8,10880356|157|30878794|E,14470656,0,55:30.8,agi_bideveloper2,INSERT
40064312,KE,SFO,23,00:00.0,ICN,SFO,0,0,0,0,I,55:30.8,10887809|180|40064312|I-Import,14473996,0,55:30.8,agi_bideveloper2,INSERT
91465500,CX,HKG,80,00:00.0,HKG,ORD,5,1436,1436,0,E,55:30.8,10887466|160|91465500|E,14472893,0,55:30.8,agi_bideveloper2,INSERT
48631402,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886084|157|48631402|I-Import,14472745,0,55:30.8,agi_bideveloper2,INSERT
2103662,QR,ORD,8102,00:00.0,ORD,DOH,1,142,142,0,E,55:30.8,10880357|157|02103662|E,14470657,0,55:30.8,agi_bideveloper2,INSERT
92952403,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888596|369|92952403|I-Import,14473997,0,55:30.8,agi_bideveloper2,INSERT
91465500,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887466|160|91465500|I-Import,14472894,0,55:30.8,agi_bideveloper2,INSERT
7062134,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886085|157|07062134|I-Import,14472746,0,55:30.8,agi_bideveloper2,INSERT
37029834,YP,SFO,9607,00:00.0,SFO,LAX,2,614,614,0,E,55:30.8,10880491|350|37029834|E,14470658,0,55:30.8,agi_bideveloper2,INSERT
92952403,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888597|369|92952403|I-Import,14473998,0,55:30.8,agi_bideveloper2,INSERT
85772680,CX,HKG,80,00:00.0,HKG,ORD,5,1459,1459,0,E,55:30.8,10887467|160|85772680|E,14472895,0,55:30.8,agi_bideveloper2,INSERT
9334415,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886086|157|09334415|I-Import,14472747,0,55:30.8,agi_bideveloper2,INSERT
37029834,YP,LAX,9607,00:00.0,SFO,LAX,0,0,0,0,I,55:30.8,10880491|350|37029834|I-Import,14470659,0,55:30.8,agi_bideveloper2,INSERT
92952440,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888598|369|92952440|I-Import,14473999,0,55:30.8,agi_bideveloper2,INSERT
85772680,CX,ORD,80,00:00.0,HKG,ORD,0,0,0,0,I,55:30.8,10887467|160|85772680|I-Import,14472896,0,55:30.8,agi_bideveloper2,INSERT
48795655,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886087|157|48795655|I-Import,14472748,0,55:30.8,agi_bideveloper2,INSERT
50002116,YP,SFO,9607,00:00.0,SFO,LAX,1,183.5,183.5,0,E,55:30.8,10880493|350|50002116|E,14470660,0,55:30.8,agi_bideveloper2,INSERT
92952473,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888599|369|92952473|I-Import,14474000,0,55:30.8,agi_bideveloper2,INSERT
91465511,CX,HKG,80,00:00.0,HKG,ORD,2,564,564,0,E,55:30.8,10887468|160|91465511|E,14472897,0,55:30.8,agi_bideveloper2,INSERT
48638365,QR,ORD,8838,00:00.0,DOH,ORD,0,0,0,0,I,55:30.8,10886088|157|48638365|I-Import,14472749,0,55:30.8,agi_bideveloper2,INSERT
